id,drug_name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2
20,albendazole 400mg tablet,Olworm 400mg Tablet,Zeebee Tablet,Zybend Tablet,Albekem 400mg Tablet,Sezole 400mg Tablet,Vomiting,Dizziness,Increased liver enzymes
21,asthalin syrup,Brethmol 2mg/5ml Syrup,Salvent 2mg Syrup,Ralbet 2mg Syrup,Asthabon 2mg Syrup,VENTORLIN 2MG/5ML SYRUP,Tremors,Headache,Palpitations
22,alprax 0.25 tablet,Alltop 0.25mg Tablet,Alprasafe 0.25mg Tablet,Nindra 0.25mg Tablet,Alora 0.25mg Tablet,Exal 0.25mg Tablet,Lightheadedness,Drowsiness,
23,altraday capsule sr,Krd AR 200mg/20mg Capsule SR,Rient-A Capsule SR,Rabispan-AC Capsule SR,Douxrab Ace 200mg/20mg Capsule SR,Rabewan AC 200mg/20mg Capsule SR,Nausea,Flatulence,Indigestion
24,ativan 2mg tablet,Zepnap 2mg Tablet,Lorel 2mg Tablet,Texina 2mg Tablet,Larpose 2mg Tablet,Zelor 2mg Tablet,Fatigue,Balance disorder (loss of balance),Dizziness
25,ascoril ls junior syrup,Bronkolyte Levo PD Syrup,Nakuf LS Syrup,Cleartuss LS Syrup,Chericof-LS Junior Syrup,Ventiphylline LS Junior Syrup,Nausea,Vomiting,Diarrhea
26,asthalin 100mcg inhaler,RHEOLIN 100 MCG INHALER,Ventorlin Inhaler CFC Free,Bronkonat 100mcg Inhaler,Durasal Breathaler 100mcg Inhaler,Asthavent 100mcg Inhaler,Tachycardia,Tremors,Headache
27,almox 500 capsule,Tormoxin 500mg Capsule,Cipmox 500 Capsule,Tidoxyl 500mg Capsule,Actimox 500mg Capsule,SB Mox 500mg Capsule,Rash,Vomiting,Allergic reaction
28,atarax 10mg tablet,Evall 10mg Tablet,Hydil 10mg Tablet,Stoprax 10mg Tablet,Hynorax 10mg Tablet,Hydrobal 10 Tablet,Sedation,Nausea,Vomiting
29,aciloc rd 20 tablet,Zydero 10mg/20mg Tablet,Try DM 10mg/20mg Tablet,Omtro D 10mg/20mg Tablet,Prazowel D 10mg/20mg Tablet,Ospicid D 10mg/20mg Tablet,Diarrhea,Stomach pain,Dryness in mouth
30,aldactone tablet,Aldobloc 25mg Tablet,Spirix 25mg Tablet,Spiromax 25mg Tablet,Spirolact 25mg Tablet,Spironot 25 Tablet,Nausea,Vomiting,Leg cramps
31,allegra suspension raspberry & vanilla,Fexovis 30mg Oral Suspension,Fextric Oral Suspension,Fexonix Oral Suspension,Fext Oral Suspension,Xaria Kidz Oral Suspension Mango,Headache,Drowsiness,Dizziness
32,atarax syrup,Hydil 10mg Syrup,Pru 10mg Syrup,Hedosat 10mg Syrup,Livrox 10mg Syrup,Anzine 10mg Syrup,Sedation,Nausea,Vomiting
33,amlokind-at tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlip AT Tablet,Amlovas-AT Tablet,Amdepin-AT Tablet,Sleepiness,Headache,Ankle swelling
34,axcer  90mg tablet,Tikacad 90 Tablet,Brigrel Tablet,Xygrel 90 Tablet,Ticastro 90 Tablet,Ticavic 90 Tablet,Bleeding,Breathlessness,
35,ativan 1mg tablet,Lzepam 1mg Tablet,Lopam 1mg Tablet,Zepnap 1mg Tablet,Lorel 1mg Tablet,Larpose 1mg Tablet,Dizziness,Weakness,Sedation
36,alkasol oral solution,Uridol Oral Solution,,,,,Stomach pain,Tiredness,Diarrhea
37,aldigesic p 100mg/325mg tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain
38,alfoo 10mg tablet pr,DavaIndia Alfuzosin 10mg Tablet PR,Alfucal 10mg Tablet PR,Alfugress Tablet PR,Emzosin Tablet PR,Zyalfa Tablet PR,Upper respiratory tract infection,Dizziness,Headache
39,alprax 0.5mg tablet,Alprasafe 0.5mg Tablet,Alparazole 0.5mg Tablet,Alprazol 0.5mg Tablet,Texidep 0.5mg Tablet,Zolipax 0.5mg Tablet,Lightheadedness,Drowsiness,
40,arachitol 6l injection,Sychitol 600000IU Injection,Devita 600000IU Injection,Huch D3 Injection,Dvital 600000IU Injection,Gen-D3 600000IU Injection,"Injection site reactions (pain, swelling, redness)",Weakness,Muscle pain
41,anafortan 25 mg/300 mg tablet,Carespas CP 25mg/300mg Tablet,Camyfyl 25mg/300mg Tablet,Cyclobid CP 25mg/300mg Tablet,Camylyn-P Tablet,Cyclobrex CP 25mg/300mg Tablet,Dryness in mouth,Constipation,Blurred vision
42,alex junior syrup,Kuffery-DMR Junior Syrup,Rizet DX Jr Syrup Kiwi,Irinil D Syrup,Dexgen Syrup,Abrotus DX Junior Syrup,Upset stomach,Sleepiness,
43,azithral 200 liquid,Azam 200 Oral Suspension,Spazit Suspension,Azimox 200mg Oral Suspension,Uber 200 Oral Suspension,Azee 200mg Dry Syrup,Vomiting,Nausea,Abdominal pain
44,ab phylline capsule,Broncocet ACB Capsule,Broncofil 100mg Capsule,Bronet 100mg Capsule,Axeldox 100 Capsule,Ambrodil-XP Capsule,Nausea,Headache,Vomiting
45,althrocin 500 tablet,Erythromycin Estol 500mg Tablet,Eryster 500mg Tablet,Eltocin 500mg Tablet,Erytho 500mg Tablet,Elucin 500mg Tablet,Vomiting,Nausea,Abdominal pain
46,augmentin dds suspension,Bactoclav DS 457 Dry Syrup,Extclav-DS Dry Syrup,Clavio-DS Oral Suspension,Medgud-CV Forte Dry Syrup,Clomaxin-DS Dry Syrup,Nausea,Vomiting,Abdominal pain
47,azicip 500 tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Cazithro 500mg Tablet,Trulimax 500mg Tablet,Vomiting,Nausea,Abdominal pain
48,aldigesic-sp tablet,Asozen SR Plus 100mg/325mg/10mg Tablet,Accept-SP Tablet,Combifenac SP 100mg/325mg/10mg Tablet,Aceloflam SP Tablet,Parofen-S Tablet,Nausea,Vomiting,Stomach pain
49,amoxycillin 500mg capsule,Tormoxin 500mg Capsule,Cipmox 500 Capsule,Tidoxyl 500mg Capsule,Actimox 500mg Capsule,SB Mox 500mg Capsule,Rash,Vomiting,Allergic reaction
50,asthakind expectorant sugar free,Eascof  Expectorant,Ventoranz Cough Expectorant,Eledyl SF Expectorant,Ascoril SF Expectorant,,Nausea,Diarrhea,Bloating
51,acemiz plus tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Acenext P 100mg/325mg Tablet,Nausea,Vomiting,Stomach pain/epigastric pain
52,aceclo plus tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Acenext P 100mg/325mg Tablet,Nausea,Vomiting,Stomach pain/epigastric pain
53,anobliss cream,Nifedip LA  Cream,Anozest Cream,Anomed L Cream,Anorelief Cream,Escot Cream,Anal irritation,,
54,alex cough lozenges lemon ginger,CHERICOF 5MG LOZENGES,Tossex D 5mg Lozenges,,,,Sleepiness,Dizziness,Confusion
55,asthalin respules,Derihaler 2.5mg Respules,Asthavent 2.5mg Respules,Axamol 2.5mg Respules 2.5ml,Pneumasal 2.5mg Respules (2.5ml Each),,Tachycardia,Tremors,Headache
56,avil injection,Nicophen 22.75mg Injection,Instavil 22.75mg Injection,Eurovil 22.75mg Injection,Kayphen 22.75mg Injection,,Sleepiness,Dryness in mouth,
57,azee 200mg dry syrup,Azam 200 Oral Suspension,Spazit Suspension,Azimox 200mg Oral Suspension,Uber 200 Oral Suspension,Azmo 200mg Oral Suspension,Vomiting,Nausea,Abdominal pain
58,atorva tablet,Atorast 10mg Tablet,Zivast 10 Tablet,Storvas 10 Tablet,Tonact 10 Tablet,Atorlip 10 Tablet,Dyspepsia,Abdominal pain,Indigestion
59,asthakind-ls expectorant cola sugar free,Tarific Expectorant,Nakuf LS+ SF Expectorant Cherry Sugar Free,Piritexyl-LS SF Expectorant,Tuspel LS 1 Expectorant,Macbery LS Expectorant Sugar Free,Nausea,Vomiting,Diarrhea
60,ascoril ls drops,Usal LS Drops,Levokof Oral Drops,Coffact-S Drop,Nosicold LS Oral Drops,Zerotuss XP Drop,Vomiting,Diarrhea,Excessive salivation
61,azmarda 50mg tablet,Sacutan 50 Tablet,Sacurise 50 Tablet,Arney 50 Tablet,Sacuval 50 Tablet,Sacu-V 50 Tablet,Dizziness,Increased potassium level in blood,Fatigue
62,amixide-h tablet,Trixide-H Tablet,Emotrip 12.5 mg/5 mg Tablet,Aculip H 12.5mg/5mg Tablet,Trixide 12.5 mg/5 mg Tablet,Kimitrip 12.5mg/5mg Tablet,Constipation,Difficulty in urination,Weight gain
63,ab-flo-n tablet,Oxydex Tablet,Pulmotol Tablet,Amucoe Nac Tablet,Aphyren-N Tablet,Asmasafe-N Tablet,Vomiting,Heartburn,Stomach pain
64,af kit tablet,Afo Kit 1000 mg/750 mg/150 mg Tablet,Femiriv 3 Kit Tablet,Vaginobact 1000 mg/750 mg/150 mg Tablet,,,Taste change,Vomiting,Headache
65,amlokind 5 tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Headache,Fatigue,Nausea
66,amlong tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Camlodip 5mg Tablet,Headache,Fatigue,Nausea
67,akt 4 kit,RF 4 Kit,Anticox 4 Kit,4D Kit,Afb 4 Kit,CAVICIN E KIT,Nausea,Vomiting,Rash
68,ascoril d junior cough syrup,Alkof Junior Syrup,Respicure-D Syrup,Chericof Syrup,Respicure-D Syrup,Ataqued Syrup,Nausea,Vomiting,Loss of appetite
69,amitone 10mg tablet,Triptop 10mg Tablet,Relidep 10mg Tablet,Tryp 10mg Tablet,Amitril 10mg Tablet,Odep 10mg Tablet,Constipation,Dryness in mouth,Orthostatic hypotension (sudden lowering of blood pressure on standing)
70,aulin 100mg tablet,Nimprex Tablet,Pyrimide 100mg Tablet,Nicip Tablet,Nimtech 100mg Tablet,Nalgis 100mg Tablet,Vomiting,Nausea,Diarrhea
71,amikacin sulphate 500mg injection,Amilab 500mg Injection,Acil 500mg Injection,Emica 500mg Injection,Mika Best 500mg Injection,Ivimicin 500mg Injection,Increased blood urea,"Injection site reactions (pain, swelling, redness)",
72,ambrodil-lx syrup,Solvin LS Syrup,Zerotuss XP Syrup,Capex LS Syrup,Broxum LS Syrup,Asthalin AX Syrup,Nausea,Vomiting,Diarrhea
73,aquasol a capsule,,,,,,No common side effects seen,,
74,ab phylline sr 200 tablet,Venphylin-SR Tablet,Uliphyalline 200 SR Tablet,Asmasafe 200mg Tablet SR,Acethama 200 SR Tablet,Abiways 200 SR Tablet,Nausea,Headache,Vomiting
75,azoran tablet,Transimune 50mg Tablet,Azap 50 Tablet,Zesoris-AZ 50mg Tablet,Autorin 50mg Tablet,Azawan Tablet,Decreased white blood cell count,Increased bleeding tendency,Nausea
76,aztor 10 tablet,Atorast 10mg Tablet,Zivast 10 Tablet,Storvas 10 Tablet,Tonact 10 Tablet,Atorlip 10 Tablet,Dyspepsia,Abdominal pain,Indigestion
77,atorva 40 tablet,Atorless 40mg Tablet,Atchol 40 Tablet,Lipikind 40 Tablet,Mactor 40 Tablet,Atorsave 40 Tablet,Dyspepsia,Abdominal pain,Indigestion
78,azax 500 tablet,Zithrocare 500mg Tablet,Zady 500 Tablet,Cazithro 500mg Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain
79,alex syrup sugar free,Alkof Junior Syrup,Respicure-D Syrup,Torex Junior Syrup,Chericof Syrup,Respicure-D Syrup,Nausea,Vomiting,Loss of appetite
80,anxit 0.5 tablet,Alprasafe 0.5mg Tablet,Alparazole 0.5mg Tablet,Alprazol 0.5mg Tablet,Texidep 0.5mg Tablet,Zolipax 0.5mg Tablet,Lightheadedness,Drowsiness,
81,anxit 0.25mg tablet,Alltop 0.25mg Tablet,Alprasafe 0.25mg Tablet,Nindra 0.25mg Tablet,Alora 0.25mg Tablet,Exal 0.25mg Tablet,Lightheadedness,Drowsiness,
82,acitrom 2 tablet,Nicoz 2mg Tablet,Nistrom 2mg Tablet,Acimalone 2 Tablet,Acethromb 2mg Tablet,Cenorol 2mg Tablet,Hemorrhage,,
83,angispan - tr 2.5mg capsule,Angiplat 2.5 Capsule TR,Angistat 2.5 Capsule TR,Vasovin - XL 2.5 Capsule,,,Blurred vision,Decreased blood pressure,Dizziness
84,azeflo nasal spray,Sarnase 50 mcg/140 mcg Nasal Spray,Sernase Nasal Spray,Armist Nasal Spray,Lergiset-AF Nasal Spray,Flotaze Nasal Spray,Taste change,Nosebleeds,Headache
85,acemiz -mr tablet,Acimol MR 100mg/325mg/250mg Tablet,Kapinac CZ Tablet,Zoceclo MR 100mg/325mg/250mg Tablet,Clanac MR Tablet,Acelyn MR 100mg/325mg/250mg Tablet,Nausea,Vomiting,Heartburn
86,akurit 4 tablet,MONITOR 4 TABLET,Trac 4 Tablet,Coxcure 4 Tablet,Mycurit 4 mg Tablet,Vicox 4 Tablet,Nausea,Vomiting,Rash
87,aerocort inhaler,,,,,,Hoarseness of voice,Headache,Dizziness
88,adaferin gel,Alene Gel,Adaple 0.1% Gel,Acfree Gel,Vandep 0.1% Gel,Admark Gel,Erythema (skin redness),Dry skin,Skin peeling
89,acivir 400 dt tablet,Acivex 400mg Tablet DT,Zoylex 400mg Tablet DT,Acloriv 400mg Tablet DT,Docvir 400mg Tablet DT,Zoster 400mg Tablet DT,Headache,Dizziness,Vomiting
90,aptimust syrup,Actizer Syrup,Pepcip Syrup,Cycoline Syrup,Yopon  Syrup,Oditril Syrup,Constipation,Dryness in mouth,Drowsiness
91,augmentin 1000 duo tablet,Moxikind-CV 1gm Tablet,Acuclav 1000mg Tablet,Mega-CV Duo 875mg/125mg Tablet,Bactoclav 875 mg/125 mg Tablet,Lmx Forte 875mg/125mg Tablet,Vomiting,Nausea,Diarrhea
92,ambrodil syrup,Ambril Syrup,Respolite Syrup,Ambrolene Syrup,Revibrox Plus 30mg/5ml Syrup,Cofnil AM 30mg Syrup,Vomiting,Nausea,Upset stomach
93,acogut tablet,Actapro Tablet,Dycotiam Tablet,Tocamide Tablet,Actapro Tablet,Acotrust  Tablet,Headache,Diarrhea,
94,atarax drops,,,,,,Sedation,Nausea,Vomiting
95,amlip 5 tablet,Amset 5mg Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Camlodip 5mg Tablet,Headache,Fatigue,Nausea
96,antid 300mcg/ml injection,,,,,,Fever,Headache,Injection site tenderness
97,alerid syrup,Cetrilix 5mg Syrup,Cetmac 5mg/5ml Syrup,Ralcet 5mg/5ml Syrup,Mast 1 Syrup,Ezin Syrup,Nausea,Headache,Muscle pain
98,aldactone 50 tablet,Spilactone 50mg Tablet,Spirix 50 Tablet,Spirolact 50mg Tablet,Edeflow 50 Tablet,Aldotone 50mg Tablet,Nausea,Vomiting,Leg cramps
99,ampoxin 500 capsule,Baciclox Plus Capsule,Cilclox 250mg/250mg Capsule,Dynacil Plus 250mg/250mg Capsule,Mivon 250mg/250mg Capsule,AROCLOX 250MG/250MG CAPSULE,Allergic reaction,Rash,Stomach pain
100,azee 250 tablet,Azicip 250 Tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Vomiting,Nausea,Abdominal pain
101,alerid tablet,Cetral O 10mg Tablet,Dio 1 10mg Tablet,Leecet Tablet,CTZ Tablet,Cetcip Tablet,Sleepiness,Dizziness,
102,augmentin 375 tablet,Moxiforce-CV 375 Tablet,Moxikind-CV 375 Tablet,Flemiclav 375 Tablet,Erox CV 250mg/125mg Tablet,Mega-CV 375 Tablet,Vomiting,Nausea,Diarrhea
103,acenac-p  tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain
104,acivir cream,Setuvir Cream,Herpesafe Cream,Zoster Cream,Zovistar Cream,Aciherpin Cream,"Application site reactions (burning, irritation, itching and redness)",,
105,ab-flo capsule,Broncocet ACB Capsule,Broncofil 100mg Capsule,Bronet 100mg Capsule,Axeldox 100 Capsule,Ambrodil-XP Capsule,Nausea,Headache,Vomiting
106,ab phylline n tablet,Oxydex Tablet,Pulmotol Tablet,Amucoe Nac Tablet,Aphyren-N Tablet,Asmasafe-N Tablet,Vomiting,Heartburn,Stomach pain
107,amifru 40 tablet,Frumide 40 mg/5 mg Tablet,Frumil Tablet,LASIRIDE 40MG/5MG TABLET,FRUMIDE 40MG/5MG TABLET,Exna K 40 mg/5 mg Tablet,Nausea,Vomiting,Diarrhea
108,avamys nasal spray,,,,,,Nasal inflammation,Headache,Nosebleeds
109,alkasol oral solution sugar free,Uridol Oral Solution,,,,,Stomach pain,Tiredness,Diarrhea
110,aciloc 300 tablet,Gertac 300mg Tablet,Rancer 300mg Tablet,Zantid 300mg Tablet,Zynol 300mg Tablet,Rdin 300mg Tablet,Headache,Diarrhea,Gastrointestinal disturbance
111,aziderm 20% cream,Azecne Cream,Azac 20% Cream,Exazel 20% Cream,Dermac 20% Cream,Azecare 20 Cream,"Application site reactions (burning, irritation, itching and redness)",,
112,ace proxyvon tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain
113,avil injection,Nicophen 22.75mg Injection,Instavil 22.75mg Injection,Eurovil 22.75mg Injection,Kayphen 22.75mg Injection,,Sleepiness,Dryness in mouth,
114,ano metrogyl cream,Sucross Ano Cream,Elfate-LM Rectal Cream,Anosum Cream,Pileclear S Cream,Surect Cream,Burning sensation,Tingling,Rash
115,admenta 5 tablet,DavaIndia Memantine 5mg Tablet,Almantin 5mg Tablet,Mentra 5mg Tablet,Mentadem 5mg Tablet,Memantal 5mg Tablet,Dizziness,Headache,Confusion
116,aceclo-mr tablet,Vetory MX Tablet,Dolostat MR 100 mg/325 mg/500 mg Tablet,Arflur-MR Tablet,Nacease MR 100mg/325mg/500mg Tablet,Clorace-MR Tablet,Nausea,Vomiting,Heartburn
117,alerid-d tablet,Cezor Plus 5mg/10mg Tablet,Zyncet-D Tablet,,,,Dryness in mouth,Headache,Vomiting
118,acemiz-s tablet,Vetory SP Tablet,Ibugesic ASP Tablet,Dolokind AA Tablet,Anaflam Xps  Tablet,Buta Proxyvon SP Tablet,Nausea,Vomiting,Stomach pain
119,allercet-dc tablet,Rycez D 10mg/10mg Tablet,Lemoson 10 mg/10 mg Tablet,Rhinocet D Tablet,Lwin DC 10mg/10mg Tablet,Hicet-DC Tablet,Dryness in mouth,Headache,Vomiting
120,aztolet  10 tablet,Lipiloss CV 10mg/75mg Tablet,Dualclop 10mg/75mg Tablet,Gamator C 10mg/75mg Tablet,Atetor C 10mg/75mg Tablet,Nasclo AT 10mg/75mg Tablet,Stomach pain,Diarrhea,Indigestion
121,augmentin 1.2gm injection,Amoluck Injection,Aoxy-CV 1.2gm Injection,Blumox-CA 1.2gm Injection,Moxfit CV 1000mg/200mg Powder for Injection,Relin 1000mg/200mg Injection,Vomiting,Nausea,Diarrhea
122,ambrodil-plus rf syrup,,,,,,Nausea,Stomach discomfort,Sleepiness
123,amlopres-at tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlip AT Tablet,Amlovas-AT Tablet,Amdepin-AT Tablet,Sleepiness,Headache,Ankle swelling
124,ajaduo 25mg/5mg tablet,Glyxambi 25mg/5mg Tablet,Tiptengio 25mg/5mg Tablet,Xilingio 25mg/5mg Tablet,,,Hypoglycemia (low blood glucose level),Cough,Nasopharyngitis (inflammation of the throat and nasal passages)
125,avanair 100 tablet,Avanext 100mg Tablet,,,,,Headache,"Flushing (sense of warmth in the face, ears, neck and trunk)",Nasal congestion (stuffy nose)
126,acton-or tablet sr,Xtpara Tablet SR,Parvon 1000 SR Tablet,Instaflex P Tablet SR,Para 1000-SR Tablet,PA 12 Tablet SR,No common side effects seen,,
127,aquazide 12.5 tablet,DavaIndia Hydrochlorothiazide 12.5mg Tablet,Xenia 12.5mg Tablet,Thiazide 12.5mg Tablet,Bpzide 12.5mg Tablet,Dizide 12.5mg Tablet,Headache,Nausea,Altered blood lipid level
128,alaspan am tablet,Loridin AM Tablet,Alastin AM Tablet,CLARIDIN AM TABLET,Lorpd AM 60mg/5mg Tablet,Lorich-AM Tablet,Upset stomach,Headache,Sleepiness
129,althrocin 250 tablet,Agrocin 250mg Tablet,Eryster 250mg Tablet,Erythrokem 250mg Tablet,Erythrotone 250mg Tablet,E Mycin 250mg Tablet,Vomiting,Nausea,Abdominal pain
130,azikem 500mg tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain
131,aldosmin 500mg tablet,Venostor 500 Tablet,Daflon 500 MG Tablet,Veinmax Tablet,,,Diarrhea,Dizziness,Hives
132,amlovas 5 tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Headache,Fatigue,Nausea
133,acitrom 1 tablet,Nistrom 1mg Tablet,Nicoz 1mg Tablet,Acimalone 1 Tablet,Acethromb 1mg Tablet,Cenorol 1mg Tablet,Hemorrhage,,
134,af 150 tablet dt,Flika 150mg Tablet DT,Flutican 150mg Tablet DT,Fluco 150mg Tablet DT,Cone 150mg Tablet DT,,Headache,Nausea,Stomach pain
135,ascoril sf expectorant,Eascof  Expectorant,Ventoranz Cough Expectorant,Eledyl SF Expectorant,Asthakind Expectorant Sugar Free,Asthakind Expectorant Sugar Free,Nausea,Diarrhea,Bloating
136,amaryl m  1mg tablet pr,Glyzee M1 PR Tablet,Glimestar-M 1 Tablet PR,Metride 1 Tablet PR,Diapride M1 Tablet PR,Glycomet-GP 1 Tablet PR,Hypoglycemia (low blood glucose level),Headache,Nausea
137,azithral xl 200 liquid,Zythro 200mg Oral Suspension,Azimox 200mg Oral Suspension,Azimcin 200mg Oral Suspension,Uber 200 Oral Suspension,Aziitech 200mg Oral Suspension,Vomiting,Nausea,Abdominal pain
138,af 400 tablet,Q Can 400mg Tablet,Force 400 Tablet,Fole 400mg Tablet,Fazol 400mg Tablet,Flucus 400mg Tablet,Headache,Nausea,Stomach pain
139,amantrel tablet,Comantrel-T Tablet,Manotrel 100mg Tablet,Amantex Tablet,Parkitidin Tablet,,Nausea,Dryness in mouth,Constipation
140,atorva 20 tablet,Atchol 20 Tablet,Lipikind 20 Tablet,Atorace 20 Tablet,Zivast 20 Tablet,Lipvas 20 Tablet,Dyspepsia,Abdominal pain,Indigestion
141,acenac-mr tablet,Thioford AP Tablet,Bakwel-AP Tablet,Fense TH Tablet,Anaflam TH  4  Tablet,Thio-Seradic Tablet,Nausea,Vomiting,Heartburn
142,ambrolite-s expectorant,Kouf-X Expectorant Mixed Fruit Sugar Free,,,,,Nausea,Diarrhea,Vomiting
143,asthalin 4 tablet,Salmaplon 4mg Tablet,Salbetol 4mg Tablet,Sal 4mg Tablet,Salcen 4mg Tablet,Avihist 4mg Tablet,Tremors,Headache,Palpitations
144,abiways tablet,Oxydex Tablet,Amucoe Nac Tablet,Aphyren-N Tablet,Asmasafe-N Tablet,Effenac AB Tablet,Vomiting,Heartburn,Stomach pain
145,amaryl m  2mg tablet pr,Glimiprex MF 2/500 Tablet PR,Glimestar-M 2 Tablet PR,Metride 2 Tablet PR,Geminor M 2 Tablet PR,Exermet GM 502 Tablet PR,Hypoglycemia (low blood glucose level),Headache,Nausea
146,azoran tablet,Transimune 50mg Tablet,Azap 50 Tablet,Zesoris-AZ 50mg Tablet,Autorin 50mg Tablet,Azawan Tablet,Decreased white blood cell count,Increased bleeding tendency,Nausea
